,ORF1ab,S,ORF3a,E,M,ORF6,ORF7a,ORF7b,ORF8,N,ORF10,Total
WIV1+WIV16,0.0,0.0,341.0,246.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0
SC2018+n23,0.0,0.0,0.0,0.0,0.0,0.0,625.0,0.0,0.0,0.0,0.0,625.0
Rs4247_147+n21,583.0,0.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0
n4+n47,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,500.0,0.0,606.0
F46+n19,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,600.0
C010+C020,0.0,0.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0
LYRa11+n28,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,600.0
Rs4231+n20,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,104.0,0.0,586.0
F46+n6,0.0,479.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.0
n40+n5,0.0,0.0,0.0,0.0,0.0,400.0,100.0,0.0,0.0,65.0,7.0,572.0
F46+n38,0.0,270.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0
F46+n12,0.0,0.0,72.0,194.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0
Rs7327+YNLF_31C,0.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,551.0
Rs4084+Rs4255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,100.0,549.0
Rs9401+n18,375.0,0.0,0.0,0.0,0.0,32.0,140.0,0.0,0.0,0.0,0.0,547.0
n2+n48,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0
n13+n26,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0
